@relation wine_features_01_6_17

@attribute 2 numeric
@attribute 1 numeric
@attribute 12 numeric
@attribute 8 numeric
@attribute 10 numeric
@attribute 9 numeric
@attribute type {1,2,3}

@data
2.2,1.52,937,3.28,1.16,2.6,2
2.74,2.12,625,1.56,0.95,2.5,2
1.98,1.41,428,1.77,1.23,2.9,2
2.1,1.07,660,1.95,1.04,4.5,2
2.21,3.17,406,2.81,1.42,2.3,2
1.7,2.08,710,1.4,1.27,3.3,2
1.9,1.34,562,1.35,1.04,2.45,2
2.46,2.45,438,1.31,0.8,2.8,2
1.88,1.72,415,1.42,0.94,2.06,2
1.98,1.73,672,1.48,1.04,2.94,2
2.27,2.55,315,1.42,0.86,2.7,2
2.12,1.73,510,1.63,1,3.4,2
2.28,1.75,488,1.63,0.88,3.3,2
1.94,1.29,312,2.08,0.86,2.7,2
2.7,1.35,680,2.49,0.96,2.65,2
1.82,3.74,562,3.58,0.75,2.9,2
2.17,2.43,325,1.22,0.9,2,2
2.92,2.68,607,1.05,1.23,3.8,2
2.5,0.74,434,1.44,1.1,3.08,2
2.5,1.39,385,1.04,0.93,2.9,2
2.2,1.51,407,2.01,1.71,1.9,2
1.99,1.47,495,1.53,0.95,1.95,2
2.19,1.61,345,1.61,1.06,2.06,2
1.98,3.43,372,0.83,0.7,3.4,2
2,3.43,564,1.87,0.93,1.28,2
2.42,2.4,625,1.83,0.8,3.25,2
3.23,2.05,465,1.87,0.93,6,2
2.73,4.43,365,1.71,0.92,2.08,2
2.13,5.8,380,2.01,0.73,2.6,2
2.39,4.31,380,2.91,0.75,2.8,2
2.17,2.16,378,1.35,0.86,2.76,2
2.29,1.53,352,1.77,0.69,3.94,2
2.78,2.13,466,1.76,0.97,3,2
2.3,1.63,342,1.9,0.89,2.12,2
2.38,4.3,580,1.35,0.79,2.6,2
2.32,1.35,630,0.94,0.76,4.1,3
2.4,2.99,530,0.83,0.74,5.4,3
2.4,2.31,560,0.83,0.66,5.7,3
2.36,3.55,600,0.84,0.78,5,3
2.25,1.24,650,1.25,0.75,5.45,3
2.2,2.46,695,0.94,0.73,7.1,3
2.54,4.72,720,0.8,0.75,3.85,3
2.64,5.51,515,1.1,0.82,5,3
2.19,3.59,580,0.88,0.81,5.7,3
2.61,2.96,590,0.81,0.89,4.92,3
2.7,2.81,600,0.75,0.77,4.6,3
2.35,2.56,780,0.64,0.7,5.6,3
2.72,3.17,520,0.55,0.89,4.35,3
2.35,4.95,550,1.02,0.91,4.4,3
2.2,3.88,855,1.14,0.65,8.21,3
2.15,3.57,830,1.3,0.6,4,3
2.23,5.04,415,0.68,0.58,4.9,3
2.48,4.61,625,0.86,0.54,7.65,3
2.38,3.24,650,1.25,0.55,8.42,3
2.36,3.9,550,1.14,0.57,9.4,3
2.62,3.12,500,1.25,0.59,8.6,3
2.48,2.67,480,1.26,0.48,10.8,3
2.75,1.9,425,1.56,0.61,7.1,3
2.28,3.3,675,1.87,0.56,10.52,3
2.1,1.29,640,1.4,0.58,7.6,3
2.32,5.19,725,1.55,0.6,7.9,3
2.38,4.12,480,1.56,0.57,9.01,3
2.64,3.03,880,1.14,0.67,7.5,3
2.7,1.68,660,2.7,0.57,13,3
2.64,1.67,620,2.29,0.57,11.75,3
2.38,3.83,520,1.04,0.56,7.65,3
2.54,3.26,680,0.8,0.96,5.88,3
2.58,3.27,570,0.96,0.87,5.58,3
2.35,3.45,675,0.94,0.68,5.28,3
2.3,2.76,615,1.03,0.7,9.58,3
2.26,4.36,520,1.15,0.78,6.62,3
2.6,3.7,695,1.46,0.85,10.68,3
2.3,3.37,685,0.97,0.72,10.26,3
2.69,2.58,750,1.54,0.74,8.66,3
2.86,4.6,630,1.11,0.67,8.5,3
2.32,3.03,510,0.73,0.66,5.5,3
2.28,2.39,470,0.64,0.57,9.899999,3
2.48,2.51,660,1.24,0.62,9.7,3
2.45,5.65,740,1.06,0.64,7.7,3
2.48,3.91,750,1.41,0.7,7.3,3
2.26,4.28,835,1.35,0.59,10.2,3
2.37,2.59,840,1.46,0.6,9.3,3
2.74,4.1,560,1.35,0.61,9.2,3
