@relation wine_features_01_6_0only

@attribute 9 numeric
@attribute 6 numeric
@attribute 11 numeric
@attribute 1 numeric
@attribute 12 numeric
@attribute 0 numeric
@attribute type {1,2,3}

@data
7.65,0.65,1.86,4.61,625,12.87,3
8.42,0.76,1.62,3.24,650,13.32,3
9.4,1.39,1.33,3.9,550,13.08,3
8.6,1.57,1.3,3.12,500,13.5,3
10.8,1.36,1.47,2.67,480,12.79,3
7.1,1.28,1.33,1.9,425,13.11,3
10.52,0.83,1.51,3.3,675,13.23,3
7.6,0.58,1.55,1.29,640,12.58,3
7.9,0.63,1.48,5.19,725,13.17,3
9.01,0.83,1.64,4.12,480,13.84,3
7.5,0.58,1.73,3.03,880,12.45,3
13,1.31,1.96,1.68,660,14.34,3
11.75,1.1,1.78,1.67,620,13.48,3
7.65,0.92,1.58,3.83,520,12.36,3
5.88,0.56,1.82,3.26,680,13.69,3
5.58,0.6,2.11,3.27,570,12.85,3
5.28,0.7,1.75,3.45,675,12.96,3
9.58,0.68,1.68,2.76,615,13.78,3
6.62,0.47,1.75,4.36,520,13.73,3
10.68,0.92,1.56,3.7,695,13.45,3
10.26,0.66,1.75,3.37,685,12.82,3
8.66,0.84,1.8,2.58,750,13.58,3
8.5,0.96,1.92,4.6,630,13.4,3
5.5,0.49,1.83,3.03,510,12.2,3
9.899999,0.51,1.63,2.39,470,12.77,3
9.7,0.7,1.71,2.51,660,14.16,3
7.7,0.61,1.74,5.65,740,13.71,3
7.3,0.75,1.56,3.91,750,13.4,3
10.2,0.69,1.56,4.28,835,13.27,3
9.3,0.68,1.62,2.59,840,13.17,3
9.2,0.76,1.6,4.1,560,14.13,3
